ID,ISBN,Автор,В наличии,"Вес, г",Вид бумаги,Возраст,Возрастные ограничения,Герои,Год издания,Жанр,Издательство,Изображение,Иллюстратор,Иллюстрации,Категория,Количество страниц,Материал,Название,Назначение,Направление,Обложка,Описание,Оценка,Пол,Превью,Раздел,"Размер, см",Рисунок,Серия,Страна-производитель,Тематика,Тип,Упаковка,Формат,Цена,Цена (старая),Число отзывов,Число оценок,Эпоха,Язык
373914,978-5-389-07955-7,Владимир Владимирович Набоков,False,,,,,,2014,,Азбука,https://www.respublica.ru/uploads/00/00/00/1r/ba/large_2cded8eafe7bd072.jpg,,,Книги; Художественная литература; Классическая литература,288,,Другие берега,,,Твердая,,,,,,,,,Россия,,,,12 х 20,300,,,,,Русский
373959,978-5-00087-009-3,Уильям Шекспир,False,,,,,,2014,,Центр книги Рудомино,https://www.respublica.ru/uploads/00/00/00/1r/c0/large_1be394518f44f4db.jpg,,,Книги; Художественная литература; Поэзия,240,,Юлий Цезарь / Julius Caesar,,,Твердая,,,,,,,,,,,,,14 х 23,330,,,,,Английский
373980,978-5-699-72378-2,Терри Пратчетт,False,,,,,,2014,,Эксмо,https://www.respublica.ru/uploads/00/00/00/6d/xq/large_6125b9b0551b4683.jpg,,,Книги; Художественная литература; Фантастика и фэнтези,448,,Бесконечная Земля,,Фэнтези,Твердая,,,,https://www.respublica.ru/items/244616/download_preview_pdf,Зарубежные,,,Терри Пратчетт,Россия,,,,12 х 19,338,,,,,Русский
373986,978-5-699-72945-6,Дина Ильинична Рубина,True,,,,,,2014,,Эксмо,https://www.respublica.ru/uploads/01/00/00/4h/fn/large_5f0f8f920d91e98a.jpg,,,Книги; Художественная литература; Современная проза,160,,Яблоки из сада Шлицбутера,,,Мягкая,"""И сюжет никакой здесь ни при чем! Их, сюжетов-то, в мировой литературе - тридцать шесть, кажется... А когда читатель следит за героем, за его кульбитами, выкрутасами, слезами горя и счастья... его, читателя, главное, что интересует? Жива ли душа в человеке останется? Или нет? Жива она? Или нет? Иными словами - есть ли все-таки Бог там, наверху, или нет его вовсе? Вот на единственный этот наш, вековечный вопрос искусство и отвечает подспудно уже несколько тысяч лет..."", - Д. Рубина.",,,,Отечественные,,,Дина Рубина. Собрание сочинений,Россия,,,,13 х 16,140,,,,,Русский
374439,978-5-389-02184-6,Михаил Афанасьевич Булгаков,False,,,,,,2011,,Азбука,https://www.respublica.ru/uploads/00/00/00/1r/m2/large_9f0d47378f053d9e.jpg,,,Книги; Художественная литература; Классическая литература,608,,Жизнь господина де Мольера. Кабала святош. Полоумный Журден. Скряга ,,,Твердая,,,,,,,,,Россия,,,,13 х 20,290,,,,,Русский
374624,978-5-17-069868-4,Эрих Мария Ремарк,False,,,,,,2012,,АСТ,https://www.respublica.ru/uploads/00/00/00/1t/qs/large_19183cdb6c92d008.jpg,,,Книги; Художественная литература; Классическая литература,287,,Ночь в Лиссабоне,,,Твердая,,,,,,,,,Россия,,,,13 х 20,220,,,,,Русский
374627,978-5-17-084535-4,Стивен Кинг,False,,,,,,2014,,АСТ,https://www.respublica.ru/uploads/01/00/00/1r/q1/large_b88784a4c764a00d.jpg,,,Книги; Художественная литература; Фантастика и фэнтези,640,,Команда скелетов,,Мистика,Твердая,,,,,Зарубежные,,,,Россия,,,,13 х 20,360,,,,,Русский
374831,978-5-17-080493-1,Стивен Кинг,False,390,,,6+,,2014,,АСТ,https://www.respublica.ru/uploads/01/00/00/1r/vr/large_7a29592fef111314.jpg,,,Книги; Художественная литература; Фантастика и фэнтези,544,,Сияние,,Мистика,Твердая,,,,https://www.respublica.ru/items/245468/download_preview_pdf,Зарубежные,,,Король на все времена,Россия,,,,13 х 20,330,360,,,,Русский
374841,978-5-699-72896-1,Дина Ильинична Рубина,False,,,,,,2014,,Эксмо,https://www.respublica.ru/uploads/00/00/00/1r/vw/large_717372a57bc9e215.jpg,,,Книги; Художественная литература; Современная проза,480,,Озябшие странники,,,Твердая,,,,,Отечественные,,,Дина Рубина. Собрание сочинений,Россия,,,,13 х 20,390,,,,,Русский
375026,978-5-17-081481-7,Пауло Коэльо,False,,,,,,2014,,АСТ,https://www.respublica.ru/uploads/01/00/00/1s/8h/large_46a2b52d19f2b081.jpg,,,Книги; Художественная литература; Современная проза,416,,Заир,,,Твердая,,,,,Зарубежные,,,,Россия,,,,13 х 20,390,,,,,Русский
375027,978-5-17-081482-4,Пауло Коэльо,True,,,,,,2014,,АСТ,https://www.respublica.ru/uploads/00/00/00/1s/8i/large_53853f5f20958398.jpg,,,Книги; Художественная литература; Современная проза,448,,Победитель остаётся один,,,Твердая,"Игорь красив, богат, успешен, но жена бросила его, и эту боль он не может заглушить. Он отправляется на гламурный Каннский кинофестиваль в надежде вернуть любовь. Игорь поклялся уничтожить целые миры, чтобы вновьобрести свою возлюбленную. ""Победитель остается один"" - это глубокое размышление о силе личности и тщеславных мечтах, которые создает и направляет общество роскоши и успеха. Ловко сплетая истории персонажей, Пауло Коэльо в своем романе рисует правдивую картину мира гламура и показывает нам возможные катастрофические последствия одержимости славой.",,,,Зарубежные,,,Лучшее от Пауло Коэльо,Россия,,,,13 х 20,590,,,,,Русский
375032,978-5-17-082014-6,Эрих Мария Ремарк,False,,,,,,2015,,АСТ,https://www.respublica.ru/uploads/00/00/00/c9/4g/large_59406138892ddedb.jpg,,,Книги; Художественная литература; Классическая литература,384,,Возлюби ближнего своего,,,Твердая,"«Возлюби ближнего своего» (1940) — это роман о немецких эмигрантах, вынужденных скитаться по предвоенной Европе. Они скрываются, голодают, тайком пересекают границы, многие их родные и близкие в концлагерях. Потеряв родину и привычный уклад жизни, подвергаясь смертельной опасности, герои Ремарка все же находят в себе силы для сострадания и любви.",,,https://www.respublica.ru/items/245669/download_preview_pdf,Зарубежные,,,Возвращение с западного фронта,Россия,,,,13 х 20,330,,,,,Русский
375034,978-5-17-085132-4,Джон Рональд Толкин,False,988,,,12+,,2014,,АСТ,https://www.respublica.ru/uploads/01/00/00/1s/8p/large_70c111925620f730.jpg,,,Книги; Художественная литература; Фантастика и фэнтези,1120,,Властелин колец. Хранители кольца. Две твердыни. Возвращение короля,,Фэнтези,Твердая,,,,https://www.respublica.ru/items/245671/download_preview_pdf,Зарубежные,,,Мастера фантазии,Россия,,,,15 х 21,730,,,,,Русский
375041,978-5-17-077357-2,Борис Акунин,False,,,,,,2014,,АСТ,https://www.respublica.ru/uploads/00/00/00/1s/8u/large_24b91fa490c2a1bc.jpg,,,Книги; Художественная литература; Детективы,320,,Пелагия и белый бульдог,,Исторические,Мягкая,"«Пелагия и белый бульдог» Бориса Акунина — первый роман трилогии «Провинцiальный детективъ, или Приключения сестры Пелагии», переведенный на множество иностранных языков. Пелагия наделена необычной интуицией, позволяющей успешно расследовать жуткие преступления. Непоседливый очкастой монахине предстоит распутать цепь загадочных преступлений, потрясших небольшой уездный город Заволжск.Изобретательность Пелагии сродни талантам знаменитой мисс Марпл и честертоновского отца Брауна. Она успешно доказывает профессиональным сыщикам, что безвыходных ситуаций не бывает! — литературный проект Б. Акунина, автора знаменитых «Приключений Эраста Фандорина».",,,https://www.respublica.ru/items/245678/download_preview_pdf,Отечественные,,,Провинциальный детектив,Россия,,,,13 х 16,150,180,,,,Русский
375242,978-5-389-08155-0,Владимир Владимирович Набоков,False,,,,,,2014,,Азбука,https://www.respublica.ru/uploads/00/00/00/1s/co/large_17adb1e5eacaac17.jpg,,,Книги; Гуманитарные и общественные науки; Филология,544,,Лекции по зарубежной литературе,,Литературоведение,Мягкая,"В «Лекциях по зарубежной литературе», впервые опубликованных в 1980 году, крупнейший русско-американский писатель ХХ века Владимир Набоков предстал перед своими поклонниками, знавшими его главным образом как виртуозного художника слова, в иных, порой неожиданных ипостасях: вдумчивого читателя, проницательного, дотошного и при этом весьма пристрастного исследователя, темпераментного и требовательного педагога. В основу книги положен лекционный курс «Мастера европейской прозы», подготовленный для студентов Корнеллского университета, где писатель преподавал в 1940–1950-е годы. На страницах этого тома Набоков-лектор дает своей аудитории превосходный урок «пристального чтения» произведений Джейн Остен, Чарльза Диккенса, Гюстава Флобера, Роберта Льюиса Стивенсона, Франца Кафки, Марселя Пруста и Джеймса Джойса.",,,,,,,Азбука-Классика. Non-Fiction,Россия,,,,11 х 18,185,290,,,,Русский
375344,978-5-389-07496-5,Астрид Линдгрен,False,,,3+,,,2014,Приключения,Махаон,https://www.respublica.ru/uploads/00/00/00/1s/eo/large_b121fc190867155a.jpg,Бьерн Берг,,Детям; Детские книги; Художественная литература,288,,Приключения Эмиля из Лённеберги ,,,Тканевая,,,,,,,,,,,,,17 х 24,640,,,,,Русский
